"Country";"IPv4";"IPv6";"Latitude";"Longitude";"Sites";"Town";"Type";"site";"id"
"USA";"Yes";"Yes";34.05;-118.25;1;"Los Angeles";"Global";"https://b.root-servers.org/";"LosAngeles-USA"
"USA";"Yes";"Yes";25.775;-80.209;1;"Miami";"Global";"https://b.root-servers.org/";"Miami-USA"
